entity,iso_code,date,Daily ICU occupancy,Daily ICU occupancy per million,Daily hospital occupancy,Daily hospital occupancy per million,Weekly new hospital admissions,Weekly new hospital admissions per million
Canada,CAN,2020-03-09,0,0,4,0.105,,
Canada,CAN,2020-03-10,0,0,5,0.131,,
Canada,CAN,2020-03-11,0,0,5,0.131,,
Canada,CAN,2020-03-12,0,0,5,0.131,,
Canada,CAN,2020-03-13,1,0.026,7,0.184,,
Canada,CAN,2020-03-14,2,0.053,9,0.236,,
Canada,CAN,2020-03-15,2,0.053,9,0.236,,
Canada,CAN,2020-03-16,2,0.053,17,0.447,,
Canada,CAN,2020-03-17,6,0.158,22,0.578,,
Canada,CAN,2020-03-18,14,0.368,31,0.814,,
Canada,CAN,2020-03-19,16,0.42,42,1.103,,
Canada,CAN,2020-03-20,24,0.63,52,1.366,,
Canada,CAN,2020-03-21,31,0.814,68,1.786,,
Canada,CAN,2020-03-22,35,0.919,76,1.996,,
Canada,CAN,2020-03-23,44,1.156,103,2.706,,
Canada,CAN,2020-03-24,64,1.681,153,4.019,,
Canada,CAN,2020-03-25,72,1.891,176,4.623,,
Canada,CAN,2020-03-26,82,2.154,216,5.674,,
Canada,CAN,2020-03-27,89,2.338,260,6.83,,
Canada,CAN,2020-03-28,125,3.284,294,7.723,,
Canada,CAN,2020-03-29,142,3.73,329,8.642,,
Canada,CAN,2020-03-30,157,4.124,406,10.665,,
Canada,CAN,2020-03-31,165,4.334,482,12.662,,
Canada,CAN,2020-04-01,174,4.571,526,13.817,,
Canada,CAN,2020-04-02,362,9.509,993,26.085,,
Canada,CAN,2020-04-03,397,10.429,1129,29.658,,
Canada,CAN,2020-04-04,424,11.138,1216,31.943,,
Canada,CAN,2020-04-05,455,11.952,1272,33.414,,
Canada,CAN,2020-04-06,486,12.767,1351,35.489,,
Canada,CAN,2020-04-07,505,13.266,1430,37.564,,
Canada,CAN,2020-04-08,523,13.739,1467,38.536,,
Canada,CAN,2020-04-09,561,14.737,1538,40.401,,
Canada,CAN,2020-04-10,542,14.238,1629,42.792,,
Canada,CAN,2020-04-11,561,14.737,1696,44.552,,
Canada,CAN,2020-04-12,570,14.973,1792,47.074,,
Canada,CAN,2020-04-13,576,15.131,1872,49.175,,
Canada,CAN,2020-04-14,571,15,1936,50.856,,
Canada,CAN,2020-04-15,560,14.711,2006,52.695,,
Canada,CAN,2020-04-16,540,14.185,2048,53.799,,
Canada,CAN,2020-04-17,534,14.028,2131,55.979,,
Canada,CAN,2020-04-18,592,15.551,2182,57.319,,
Canada,CAN,2020-04-19,516,13.555,2132,56.005,,
Canada,CAN,2020-04-20,527,13.844,2188,57.476,,
Canada,CAN,2020-04-21,531,13.949,2305,60.55,,
Canada,CAN,2020-04-22,518,13.607,2369,62.231,,
Canada,CAN,2020-04-23,513,13.476,2517,66.119,,
Canada,CAN,2020-04-24,540,14.185,2582,67.826,,
Canada,CAN,2020-04-25,533,14.001,2649,69.586,,
